,9
Score,0.048033762723207474
History_Std,0.0412939228117466
Accuracy,0.9426229508196722
Test_Score,0.03943266347050667
Test_Accuracy,0.9629629629629629
Trained_Epochs,256
Old_Accuracy,0.9587628866
Old_Accuracy_val,0.88
Old_History,"[0.21703146, 0.21429384, 0.21160135, 0.20889115, 0.20607531, 0.20320526, 0.20023474, 0.19717474, 0.19403228, 0.19081652, 0.18751715, 0.18417317, 0.18076473, 0.17731772, 0.17385423, 0.17034099, 0.16680744, 0.1632724, 0.15974164, 0.1562271, 0.15272556, 0.14925835, 0.14582452, 0.14245126, 0.13910097, 0.13584504, 0.13265923, 0.1295775, 0.12656246, 0.12362406, 0.12080008, 0.11807747, 0.11542284, 0.11287039, 0.1104263, 0.108080365, 0.105851546, 0.10369961, 0.10163104, 0.099627264, 0.09771088, 0.095890835, 0.09414494, 0.09250075, 0.09093884, 0.0894422, 0.08801863, 0.08667585, 0.0853787, 0.08416016, 0.08298205, 0.08187082, 0.08080645, 0.07979663, 0.07884122, 0.077913605, 0.07703068, 0.07618729, 0.07538214, 0.07461049, 0.07388212, 0.07318302, 0.072510675, 0.07186984, 0.071256, 0.07066923, 0.070107564, 0.06956939, 0.069052696, 0.06855047, 0.068067655, 0.067606576, 0.06716197, 0.06673124, 0.06631989, 0.06591718, 0.06553551, 0.06516069, 0.06479781, 0.06445208, 0.064114556, 0.06379023, 0.06347317, 0.063168, 0.062871, 0.06257842, 0.062296905, 0.062021744, 0.061756026, 0.061499223, 0.061248668, 0.061001267, 0.060763873, 0.060532905, 0.060307745, 0.06008208, 0.059863783, 0.05965243, 0.059446834, 0.059248373, 0.059050426, 0.058858152, 0.058668062, 0.05848092, 0.058299307, 0.05811991, 0.05794406, 0.057774678, 0.05760752, 0.057446256, 0.057284463, 0.057127286, 0.056973867, 0.05682211, 0.056674674, 0.05652952, 0.05638596, 0.05624456, 0.056109104, 0.055974506, 0.055842504, 0.05571097, 0.05558281, 0.055457715, 0.055332433, 0.055208493, 0.055088807, 0.054971352, 0.054855645, 0.05474124, 0.05462651, 0.05451704, 0.054403696, 0.054295074, 0.054189127, 0.05408441, 0.053980477, 0.053879254, 0.05377838, 0.053680096, 0.05358034, 0.05348623, 0.053394534, 0.053300552, 0.05320832, 0.053116243, 0.05302532, 0.05293709, 0.052847818, 0.05276175, 0.052677125, 0.052592866, 0.052509755, 0.052427866, 0.052346054, 0.052266385, 0.0521886, 0.052110787, 0.05203457, 0.051958676, 0.05188237, 0.051806483, 0.051732894, 0.051659856, 0.05158766, 0.0515174, 0.05144962, 0.051379845, 0.051308684, 0.05124103, 0.05117352, 0.051104177, 0.051037952, 0.050971083, 0.05090472, 0.050839167, 0.05077401, 0.050711785, 0.05064985, 0.05058661, 0.050522547, 0.050460722, 0.050403737, 0.050345894, 0.050283525, 0.050225593, 0.050169017, 0.050111197, 0.050055705, 0.049997807, 0.04994092, 0.04988566, 0.049830485, 0.049776006, 0.04972031, 0.04966467, 0.049610015, 0.049556684, 0.04950527, 0.049450513, 0.04939757, 0.049344957, 0.049294136, 0.049240768, 0.0491893, 0.049139816, 0.0490916, 0.049042623, 0.048992157, 0.048942085, 0.048894748, 0.048848912, 0.048801687, 0.048753817, 0.048705902, 0.0486574, 0.048609257, 0.048562143, 0.048516165, 0.048470575, 0.04842629, 0.048380043, 0.048336368, 0.04829255, 0.0482486, 0.048206463, 0.04816161, 0.048116885, 0.048074167, 0.048033763]"
Old_History_val,"[0.21703146, 0.21429384, 0.21160135, 0.20889115, 0.20607531, 0.20320526, 0.20023474, 0.19717474, 0.19403228, 0.19081652, 0.18751715, 0.18417317, 0.18076473, 0.17731772, 0.17385423, 0.17034099, 0.16680744, 0.1632724, 0.15974164, 0.1562271, 0.15272556, 0.14925835, 0.14582452, 0.14245126, 0.13910097, 0.13584504, 0.13265923, 0.1295775, 0.12656246, 0.12362406, 0.12080008, 0.11807747, 0.11542284, 0.11287039, 0.1104263, 0.108080365, 0.105851546, 0.10369961, 0.10163104, 0.099627264, 0.09771088, 0.095890835, 0.09414494, 0.09250075, 0.09093884, 0.0894422, 0.08801863, 0.08667585, 0.0853787, 0.08416016, 0.08298205, 0.08187082, 0.08080645, 0.07979663, 0.07884122, 0.077913605, 0.07703068, 0.07618729, 0.07538214, 0.07461049, 0.07388212, 0.07318302, 0.072510675, 0.07186984, 0.071256, 0.07066923, 0.070107564, 0.06956939, 0.069052696, 0.06855047, 0.068067655, 0.067606576, 0.06716197, 0.06673124, 0.06631989, 0.06591718, 0.06553551, 0.06516069, 0.06479781, 0.06445208, 0.064114556, 0.06379023, 0.06347317, 0.063168, 0.062871, 0.06257842, 0.062296905, 0.062021744, 0.061756026, 0.061499223, 0.061248668, 0.061001267, 0.060763873, 0.060532905, 0.060307745, 0.06008208, 0.059863783, 0.05965243, 0.059446834, 0.059248373, 0.059050426, 0.058858152, 0.058668062, 0.05848092, 0.058299307, 0.05811991, 0.05794406, 0.057774678, 0.05760752, 0.057446256, 0.057284463, 0.057127286, 0.056973867, 0.05682211, 0.056674674, 0.05652952, 0.05638596, 0.05624456, 0.056109104, 0.055974506, 0.055842504, 0.05571097, 0.05558281, 0.055457715, 0.055332433, 0.055208493, 0.055088807, 0.054971352, 0.054855645, 0.05474124, 0.05462651, 0.05451704, 0.054403696, 0.054295074, 0.054189127, 0.05408441, 0.053980477, 0.053879254, 0.05377838, 0.053680096, 0.05358034, 0.05348623, 0.053394534, 0.053300552, 0.05320832, 0.053116243, 0.05302532, 0.05293709, 0.052847818, 0.05276175, 0.052677125, 0.052592866, 0.052509755, 0.052427866, 0.052346054, 0.052266385, 0.0521886, 0.052110787, 0.05203457, 0.051958676, 0.05188237, 0.051806483, 0.051732894, 0.051659856, 0.05158766, 0.0515174, 0.05144962, 0.051379845, 0.051308684, 0.05124103, 0.05117352, 0.051104177, 0.051037952, 0.050971083, 0.05090472, 0.050839167, 0.05077401, 0.050711785, 0.05064985, 0.05058661, 0.050522547, 0.050460722, 0.050403737, 0.050345894, 0.050283525, 0.050225593, 0.050169017, 0.050111197, 0.050055705, 0.049997807, 0.04994092, 0.04988566, 0.049830485, 0.049776006, 0.04972031, 0.04966467, 0.049610015, 0.049556684, 0.04950527, 0.049450513, 0.04939757, 0.049344957, 0.049294136, 0.049240768, 0.0491893, 0.049139816, 0.0490916, 0.049042623, 0.048992157, 0.048942085, 0.048894748, 0.048848912, 0.048801687, 0.048753817, 0.048705902, 0.0486574, 0.048609257, 0.048562143, 0.048516165, 0.048470575, 0.04842629, 0.048380043, 0.048336368, 0.04829255, 0.0482486, 0.048206463, 0.04816161, 0.048116885, 0.048074167, 0.048033763]"
