,11
Score,0.03192616254091263
History_Std,0.03990991786122322
Accuracy,0.9590163934426229
Test_Score,0.02488216571509838
Test_Accuracy,0.9722222222222222
Trained_Epochs,500
Old_Accuracy,0.967391304347826
Old_Accuracy_val,1.0
Old_History,"[0.250273, 0.24487272, 0.23986705, 0.23476893, 0.23096323, 0.22689487, 0.22301196, 0.21924189, 0.21616252, 0.21258476, 0.20922045, 0.20574267, 0.2020986, 0.19857444, 0.19523457, 0.1919217, 0.18848656, 0.18493943, 0.18121073, 0.17771235, 0.1739663, 0.17024092, 0.16680853, 0.16314267, 0.15951636, 0.15612355, 0.15265067, 0.14932458, 0.14596972, 0.14296475, 0.13980928, 0.13647582, 0.13361578, 0.1305747, 0.12741233, 0.12489345, 0.122274406, 0.119204044, 0.11616254, 0.11378808, 0.1109981, 0.10826428, 0.105874084, 0.103550546, 0.10143701, 0.09969149, 0.09773475, 0.09563814, 0.0939547, 0.0922377, 0.09045897, 0.08901734, 0.08744979, 0.08596234, 0.08467724, 0.083143674, 0.08184095, 0.08059836, 0.079398826, 0.07838582, 0.07728527, 0.07629723, 0.07525238, 0.07429479, 0.07332018, 0.07247982, 0.07161553, 0.0707952, 0.069978505, 0.06928178, 0.06874889, 0.06783616, 0.067150235, 0.066470034, 0.06580739, 0.065197796, 0.06465515, 0.063956454, 0.06343148, 0.062857546, 0.06236537, 0.061866824, 0.061328687, 0.06099024, 0.06041343, 0.060060345, 0.059583317, 0.05915182, 0.05875435, 0.058358245, 0.057967752, 0.057639755, 0.057237767, 0.056939565, 0.056557395, 0.056216244, 0.056021024, 0.055611614, 0.055298753, 0.05506135, 0.054789547, 0.054522663, 0.054221284, 0.05391469, 0.053659238, 0.053382527, 0.053176526, 0.052956168, 0.052598413, 0.052366175, 0.052116368, 0.051895417, 0.051677544, 0.05161565, 0.051397853, 0.050984174, 0.050768044, 0.050623324, 0.050452843, 0.05019491, 0.050029874, 0.04984238, 0.049615767, 0.04949746, 0.04928741, 0.049112964, 0.048945926, 0.04884079, 0.048575614, 0.048515152, 0.048225485, 0.048061743, 0.047916546, 0.047762584, 0.0476443, 0.047463547, 0.047265865, 0.047121342, 0.047029138, 0.046867248, 0.046730835, 0.04669758, 0.046511147, 0.046307646, 0.04615981, 0.046044987, 0.045866594, 0.04578043, 0.045586497, 0.04547012, 0.045341518, 0.045278937, 0.045070965, 0.044937063, 0.044827648, 0.0447253, 0.044612914, 0.04448871, 0.044417072, 0.044279613, 0.04417115, 0.044101544, 0.044013273, 0.043912, 0.043754764, 0.043682028, 0.043576125, 0.043467153, 0.04338197, 0.043273266, 0.04316652, 0.043142635, 0.043083724, 0.042905267, 0.04279664, 0.042715125, 0.04259723, 0.04252086, 0.042423874, 0.042348992, 0.042232208, 0.04216566, 0.042084962, 0.04201101, 0.04190912, 0.04183447, 0.04170577, 0.041629963, 0.04158453, 0.04149634, 0.041403342, 0.04132896, 0.04125094, 0.041212365, 0.041123886, 0.041045524, 0.04098844, 0.041153304, 0.04100553, 0.04100564, 0.040698253, 0.040568136, 0.040549625, 0.040493608, 0.040377587, 0.04034372, 0.04025776, 0.040184356, 0.040131606, 0.04005676, 0.03997969, 0.039930608, 0.03986943, 0.039775837, 0.039717603, 0.039659742, 0.039611552, 0.039593067, 0.039518703, 0.039474666, 0.03944097, 0.039388765, 0.03926308, 0.0392087, 0.039200056, 0.039173327, 0.03919785, 0.039152894, 0.039061148, 0.038915727, 0.038856257, 0.038803447, 0.038780637, 0.038777042, 0.03868149, 0.03859771, 0.03854254, 0.038483158, 0.038515564, 0.038446624, 0.038351506, 0.03832866, 0.038229343, 0.038186595, 0.038135238, 0.038093403, 0.0380308, 0.038032096, 0.038057476, 0.037946533, 0.037934255, 0.037973277, 0.03794868, 0.037952293, 0.037921272, 0.03774502, 0.0376922, 0.037575755, 0.03752046, 0.03750749, 0.037447933, 0.03747469, 0.037397455, 0.037343837, 0.037284352, 0.037231036, 0.0371708, 0.037130505, 0.037105273, 0.037127186, 0.03704627, 0.03699505, 0.0369424, 0.036907952, 0.03693601, 0.0369682, 0.03692887, 0.036753383, 0.036758177, 0.03667351, 0.036643103, 0.036603447, 0.036612995, 0.03652709, 0.036469, 0.036462013, 0.036529843, 0.036759872, 0.036677804, 0.036611058, 0.03639281, 0.036318578, 0.03620619, 0.036158275, 0.036150716, 0.03611956, 0.03605954, 0.03605981, 0.03601013, 0.036097955, 0.036060248, 0.035863325, 0.03582417, 0.03578, 0.035779547, 0.035786856, 0.035799235, 0.035737675, 0.03565486, 0.03563566, 0.035631873, 0.035553303, 0.035547696, 0.03550402, 0.035451513, 0.035425786, 0.035391588, 0.035352167, 0.03532657, 0.03529178, 0.0352921, 0.03528443, 0.035197213, 0.035171356, 0.035172995, 0.035100933, 0.03508029, 0.035061296, 0.035018798, 0.035005674, 0.034990724, 0.03495859, 0.035001434, 0.03489963, 0.034866467, 0.034837294, 0.034880344, 0.034873057, 0.034735154, 0.0347413, 0.034709826, 0.03464566, 0.034627553, 0.03457641, 0.034549747, 0.034565892, 0.03460667, 0.03448113, 0.034438074, 0.03448062, 0.03443741, 0.034376252, 0.03443424, 0.034359902, 0.03429048, 0.034225095, 0.034222074, 0.034191884, 0.03415298, 0.03414399, 0.034096826, 0.03405951, 0.034078382, 0.034019083, 0.03398691, 0.033960894, 0.033934776, 0.03396463, 0.033925597, 0.03386439, 0.03389794, 0.033911284, 0.033896808, 0.033822186, 0.033781286, 0.033718318, 0.033744346, 0.033670712, 0.033640556, 0.0336614, 0.03366073, 0.03357784, 0.03353944, 0.03351769, 0.03353923, 0.03364615, 0.03348459, 0.033421986, 0.033466678, 0.03363216, 0.033414636, 0.033376493, 0.03330571, 0.033274017, 0.033244018, 0.033218056, 0.033218335, 0.03318075, 0.033166148, 0.033150848, 0.03312972, 0.033096556, 0.033098258, 0.03304309, 0.033094734, 0.03306993, 0.03297823, 0.032965835, 0.03294051, 0.03291131, 0.032889046, 0.032950763, 0.032865457, 0.032839607, 0.03284138, 0.032786988, 0.032848123, 0.032726765, 0.03270556, 0.032685563, 0.03269646, 0.032651182, 0.03263187, 0.032614086, 0.032660287, 0.03262779, 0.03254161, 0.03256004, 0.03249888, 0.03248032, 0.032463487, 0.032449257, 0.032433514, 0.032420717, 0.032399464, 0.03238514, 0.03244208, 0.032357536, 0.03235786, 0.032419026, 0.032385685, 0.03225094, 0.032236416, 0.032213323, 0.032203145, 0.03218663, 0.032222796, 0.032164823, 0.032119185, 0.032110468, 0.032112643, 0.03206521, 0.03212284, 0.032022797, 0.03201216, 0.03205168, 0.03216082, 0.032185026, 0.032025665, 0.03191612, 0.032024227, 0.031943444, 0.031882446, 0.031837486, 0.031829335, 0.031808447, 0.031854738, 0.031781133, 0.031756762, 0.03178023, 0.031726774, 0.031748887, 0.031690802, 0.031671394, 0.0316709, 0.031630576, 0.031617247, 0.031596467, 0.03159869, 0.0316153, 0.031605374, 0.03153522, 0.031560406, 0.03155459, 0.03150489, 0.031487435, 0.03150949, 0.0314331, 0.031432033, 0.031453613, 0.03139352, 0.031384997, 0.031348076, 0.031347763, 0.031337563, 0.031320494, 0.031297058, 0.031288024, 0.03127991, 0.03126289]"
Old_History_val,"[0.25624973, 0.2516952, 0.24744691, 0.2434611, 0.2403167, 0.23693503, 0.23379257, 0.23059176, 0.22773404, 0.22448076, 0.22145413, 0.21835047, 0.21489689, 0.21155095, 0.20812017, 0.20490226, 0.20148808, 0.19787334, 0.19399169, 0.19036843, 0.1866451, 0.18261747, 0.17897266, 0.17516789, 0.1712829, 0.16744187, 0.16381459, 0.16014567, 0.15648144, 0.15301378, 0.14945872, 0.14565435, 0.1424585, 0.13905935, 0.13549931, 0.13254304, 0.12952307, 0.12605254, 0.12254918, 0.1197937, 0.116657965, 0.11354877, 0.11076506, 0.10814335, 0.10574918, 0.10367218, 0.10124882, 0.098541826, 0.096619956, 0.09464903, 0.09232319, 0.09059378, 0.08846829, 0.08647951, 0.08494481, 0.082872614, 0.08144053, 0.07999355, 0.07834232, 0.07710108, 0.075718515, 0.07440579, 0.07298662, 0.07178135, 0.07032093, 0.06909973, 0.0679698, 0.06682696, 0.06574353, 0.06453816, 0.06347879, 0.062219553, 0.06139112, 0.060165763, 0.05933995, 0.05838004, 0.0575133, 0.056659218, 0.055927303, 0.055185754, 0.05447853, 0.053749222, 0.052734025, 0.052371453, 0.051349364, 0.050871428, 0.050060313, 0.049255416, 0.04846309, 0.04770015, 0.047145728, 0.04638754, 0.045735177, 0.04540644, 0.044601895, 0.044116367, 0.04399418, 0.043023285, 0.042669907, 0.042358793, 0.041774947, 0.041185975, 0.040638868, 0.040009063, 0.039711468, 0.03945285, 0.039178737, 0.038667686, 0.03783817, 0.03727795, 0.036824383, 0.036507186, 0.036235325, 0.0363665, 0.036136705, 0.03547547, 0.03502394, 0.034950923, 0.03484429, 0.034245607, 0.034041822, 0.03364765, 0.033554632, 0.03346278, 0.03312693, 0.03294135, 0.03265781, 0.03241827, 0.03186483, 0.03164787, 0.03141145, 0.031339742, 0.031229787, 0.03068286, 0.03073195, 0.03050942, 0.030267255, 0.029880367, 0.029709693, 0.02939833, 0.02936623, 0.029274557, 0.029071838, 0.028888611, 0.028504388, 0.028297272, 0.02789652, 0.027669454, 0.027507955, 0.027175885, 0.026934443, 0.0266723, 0.026441133, 0.026251245, 0.02610165, 0.02607614, 0.02603458, 0.025727812, 0.025932709, 0.025808908, 0.025671506, 0.025482353, 0.025306143, 0.025253598, 0.024868215, 0.024799317, 0.024517681, 0.02450279, 0.024319587, 0.024032839, 0.023809144, 0.023750665, 0.02365482, 0.023674337, 0.023664357, 0.023706967, 0.0234469, 0.02336346, 0.023314156, 0.023159396, 0.02299824, 0.022914488, 0.022737795, 0.02278972, 0.022563173, 0.022474142, 0.022233106, 0.022296699, 0.022198083, 0.022177255, 0.021826055, 0.021856794, 0.02193082, 0.021897793, 0.021797, 0.021539254, 0.021487884, 0.0217042, 0.021518644, 0.021719864, 0.021365376, 0.020971883, 0.02087398, 0.020720964, 0.020798989, 0.020744093, 0.020496799, 0.020240404, 0.020133607, 0.02000554, 0.01992857, 0.019953635, 0.019840963, 0.019662434, 0.019459328, 0.019306727, 0.019205667, 0.019319868, 0.018946087, 0.018879648, 0.01883139, 0.018727807, 0.018476551, 0.018387398, 0.018180715, 0.01788223, 0.017750861, 0.017624147, 0.017482812, 0.01742924, 0.017553693, 0.017485611, 0.017290417, 0.017105278, 0.017210223, 0.017263522, 0.017269863, 0.017138518, 0.016975634, 0.016821476, 0.01668918, 0.016659636, 0.016669124, 0.016552247, 0.016524121, 0.016387003, 0.016477488, 0.016313812, 0.016338553, 0.016115587, 0.01594028, 0.015889814, 0.01579463, 0.015687032, 0.015571196, 0.015587446, 0.015451118, 0.0156182675, 0.015687853, 0.015543475, 0.015641289, 0.015560637, 0.015444333, 0.01529808, 0.0153757725, 0.015486237, 0.015546116, 0.015518796, 0.0156033905, 0.015615362, 0.015570522, 0.015269033, 0.015345837, 0.015232427, 0.015206342, 0.01515053, 0.015019384, 0.015166872, 0.015085847, 0.01514046, 0.015248918, 0.015237347, 0.015357701, 0.015093577, 0.014995277, 0.014747786, 0.014711185, 0.014927639, 0.014818414, 0.014723384, 0.014734274, 0.0145587055, 0.014593317, 0.014710014, 0.014647261, 0.0146322595, 0.01477759, 0.014961464, 0.014958742, 0.01526096, 0.015111208, 0.014822314, 0.0147487195, 0.014426177, 0.014374952, 0.014245909, 0.014204076, 0.014117018, 0.01402093, 0.014166306, 0.014299169, 0.013969695, 0.01393387, 0.013857163, 0.013957159, 0.013900428, 0.014056423, 0.013914091, 0.013929501, 0.013940839, 0.013875173, 0.013833986, 0.013909156, 0.013873801, 0.013727806, 0.013888663, 0.013852897, 0.013712203, 0.01372622, 0.013763543, 0.013629888, 0.013559988, 0.01341039, 0.013285042, 0.013352335, 0.013587824, 0.013665976, 0.013724341, 0.013403728, 0.013238447, 0.012984272, 0.013073354, 0.01298003, 0.013055866, 0.012970543, 0.013030774, 0.013293556, 0.012815, 0.012588205, 0.012517411, 0.012377208, 0.012699377, 0.013041622, 0.012843129, 0.012792851, 0.0124696335, 0.012389829, 0.0123146875, 0.0125779705, 0.01251537, 0.012224238, 0.01222135, 0.012126776, 0.012215337, 0.0124134105, 0.012272431, 0.012289452, 0.0124905165, 0.0125164995, 0.012205388, 0.012480555, 0.012596698, 0.01265893, 0.012421318, 0.0124943545, 0.012352025, 0.012243601, 0.012284655, 0.01219289, 0.012488565, 0.012441539, 0.012412144, 0.012369184, 0.01223139, 0.012250033, 0.0125193205, 0.012218758, 0.012091935, 0.012335097, 0.012684344, 0.012364404, 0.012286958, 0.012046454, 0.011872823, 0.011725065, 0.011574885, 0.011676115, 0.011606359, 0.011412538, 0.011393257, 0.01141489, 0.011330705, 0.0113880765, 0.011375895, 0.01135216, 0.011431491, 0.01147453, 0.011640767, 0.011601793, 0.011437792, 0.011491018, 0.011783514, 0.011508672, 0.01136195, 0.0115228295, 0.011321256, 0.011523544, 0.011252857, 0.011094398, 0.010967775, 0.01107495, 0.010810124, 0.010783283, 0.010816404, 0.010751615, 0.010688645, 0.0108402865, 0.01097782, 0.01080937, 0.010646895, 0.010650584, 0.010600588, 0.010501168, 0.010493487, 0.0104401475, 0.010423497, 0.010276093, 0.010460808, 0.0105407145, 0.010669325, 0.01067949, 0.010415326, 0.010411527, 0.0103662675, 0.010541945, 0.010555093, 0.0105695315, 0.010484548, 0.010354008, 0.010242971, 0.010342283, 0.010281728, 0.01038391, 0.010293009, 0.010117823, 0.010087405, 0.01013423, 0.010047832, 0.009757021, 0.009845106, 0.010177229, 0.010032425, 0.010009762, 0.009876791, 0.00974015, 0.009671843, 0.00963891, 0.009685361, 0.009745214, 0.009860172, 0.009761748, 0.0097109135, 0.009751403, 0.009808188, 0.009762581, 0.0097256275, 0.009628882, 0.009472764, 0.009404904, 0.009387049, 0.0093669025, 0.009304585, 0.009211938, 0.009198825, 0.00916087, 0.009157726, 0.009091558, 0.009190375, 0.009328201, 0.009268877, 0.00928482, 0.00928641, 0.0093140425, 0.00927757, 0.00938807, 0.00936119, 0.009346961, 0.009405091, 0.009351765, 0.009393388]"
